Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry,Year
Alwarpet,Tamil Nadu,Chennai,CGWB,2004-05-15,8.2,13.025,80.25833333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2004-05-15,5.81,13.02222222,80.225,2,2004
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2004-05-15,7.8,13.04166667,80.20833333,2,2004
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2004-08-25,7.8,13.04166667,80.20833333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2004-08-25,10.04,13.02222222,80.225,2,2004
Alwarpet,Tamil Nadu,Chennai,CGWB,2004-08-25,4.06,13.025,80.25833333,2,2004
Vepery,Tamil Nadu,Chennai,CGWB,2004-08-25,5.03,13.08333333,80.27083333,2,2004
Vepery,Tamil Nadu,Chennai,CGWB,2004-11-05,5.39,13.08333333,80.27083333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2004-11-05,6.1,13.02222222,80.225,2,2004
Alwarpet,Tamil Nadu,Chennai,CGWB,2004-11-05,2.93,13.025,80.25833333,2,2004
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2004-11-05,3.85,13.04166667,80.20833333,2,2004
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2005-01-05,7.2,13.02222222,80.225,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2005-01-05,8.2,13.04166667,80.20833333,2,2005
Tondiarpet,Tamil Nadu,Chennai,CGWB,2005-01-05,5.7,13.11666667,80.275,2,2005
Vepery,Tamil Nadu,Chennai,CGWB,2005-01-05,6.06,13.08333333,80.27083333,2,2005
Alwarpet,Tamil Nadu,Chennai,CGWB,2005-01-05,3.97,13.025,80.25833333,2,2005
Vepery,Tamil Nadu,Chennai,CGWB,2005-05-15,6.4,13.08333333,80.27083333,2,2005
Alwarpet,Tamil Nadu,Chennai,CGWB,2005-05-15,3.93,13.025,80.25833333,2,2005
Besant Nagar,Tamil Nadu,Chennai,CGWB,2005-05-15,7.25,13.00138889,80.27,2,2005
Tondiarpet,Tamil Nadu,Chennai,CGWB,2005-05-15,6.3,13.11666667,80.275,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2005-05-15,8.2,13.04166667,80.20833333,2,2005
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2005-05-15,9.16,13.02222222,80.225,2,2005
Alwarpet,Tamil Nadu,Chennai,CGWB,2005-08-25,3.5,13.025,80.25833333,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2005-08-25,5.15,13.04166667,80.20833333,2,2005
Tondiarpet,Tamil Nadu,Chennai,CGWB,2005-08-25,7.8,13.11666667,80.275,2,2005
Vepery,Tamil Nadu,Chennai,CGWB,2005-08-25,6.23,13.08333333,80.27083333,2,2005
Tondiarpet,Tamil Nadu,Chennai,CGWB,2005-11-05,1.85,13.11666667,80.275,2,2005
Besant Nagar,Tamil Nadu,Chennai,CGWB,2005-11-05,3.26,13.00138889,80.27,2,2005
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2005-11-05,2.9,13.02222222,80.225,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2005-11-05,0.62,13.04166667,80.20833333,2,2005
Alwarpet,Tamil Nadu,Chennai,CGWB,2005-11-05,0.66,13.025,80.25833333,2,2005
Vepery,Tamil Nadu,Chennai,CGWB,2005-11-05,0.05,13.08333333,80.27083333,2,2005
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2006-01-05,1.35,13.04166667,80.20833333,2,2006
Tondiarpet,Tamil Nadu,Chennai,CGWB,2006-01-05,2.09,13.11666667,80.275,2,2006
Vepery,Tamil Nadu,Chennai,CGWB,2006-01-05,1.6,13.08333333,80.27083333,2,2006
Alwarpet,Tamil Nadu,Chennai,CGWB,2006-01-05,3.6,13.025,80.25833333,2,2006
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2006-01-05,3.7,13.02222222,80.225,2,2006
Besant Nagar,Tamil Nadu,Chennai,CGWB,2006-01-05,4.2,13.00138889,80.27,2,2006
Besant Nagar,Tamil Nadu,Chennai,CGWB,2006-05-15,4.47,13.00138889,80.27,2,2006
Vepery,Tamil Nadu,Chennai,CGWB,2006-05-15,5.09,13.08333333,80.27083333,2,2006
Tondiarpet,Tamil Nadu,Chennai,CGWB,2006-05-15,2.56,13.11666667,80.275,2,2006
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2006-05-15,9.43,13.02222222,80.225,2,2006
Alwarpet,Tamil Nadu,Chennai,CGWB,2006-05-15,3.16,13.025,80.25833333,2,2006
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2006-05-15,2.39,13.04166667,80.20833333,2,2006
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2006-08-25,4.07,13.10555556,80.28138889,2,2006
Tondiarpet,Tamil Nadu,Chennai,CGWB,2006-08-25,3.08,13.11666667,80.275,2,2006
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2006-08-25,2.5,13.04166667,80.20833333,2,2006
Chepauk (A),Tamil Nadu,Chennai,CGWB,2006-08-25,0.53,13.05555556,80.28138889,2,2006
Alwarpet,Tamil Nadu,Chennai,CGWB,2006-08-25,3.1,13.025,80.25833333,2,2006
Besant Nagar,Tamil Nadu,Chennai,CGWB,2006-08-25,4.86,13.00138889,80.27,2,2006
Vepery,Tamil Nadu,Chennai,CGWB,2006-08-25,6.6,13.08333333,80.27083333,2,2006
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2006-08-25,7.3,13.02222222,80.225,2,2006
Alwarpet,Tamil Nadu,Chennai,CGWB,2006-11-05,0.6,13.025,80.25833333,2,2006
Tondiarpet,Tamil Nadu,Chennai,CGWB,2006-11-05,2.44,13.11666667,80.275,2,2006
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2006-11-05,3.15,13.10555556,80.28138889,2,2006
Vepery,Tamil Nadu,Chennai,CGWB,2006-11-05,3.0,13.08333333,80.27083333,2,2006
Chepauk (A),Tamil Nadu,Chennai,CGWB,2006-11-05,0.85,13.05555556,80.28138889,2,2006
Besant Nagar,Tamil Nadu,Chennai,CGWB,2006-11-05,2.67,13.00138889,80.27,2,2006
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2006-11-05,0.2,13.02222222,80.225,2,2006
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2006-11-05,0.35,13.04166667,80.20833333,2,2006
Vepery,Tamil Nadu,Chennai,CGWB,2007-01-05,3.88,13.08333333,80.27083333,2,2007
Alwarpet,Tamil Nadu,Chennai,CGWB,2007-01-05,2.2,13.025,80.25833333,2,2007
Besant Nagar,Tamil Nadu,Chennai,CGWB,2007-01-05,2.8,13.00138889,80.27,2,2007
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2007-01-05,2.85,13.10555556,80.28138889,2,2007
Tondiarpet,Tamil Nadu,Chennai,CGWB,2007-01-05,2.6,13.11666667,80.275,2,2007
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2007-01-05,1.15,13.04166667,80.20833333,2,2007
Chepauk (A),Tamil Nadu,Chennai,CGWB,2007-01-05,0.45,13.05555556,80.28138889,2,2007
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2007-01-05,3.7,13.02222222,80.225,2,2007
Alwarpet,Tamil Nadu,Chennai,CGWB,2007-05-15,4.03,13.025,80.25833333,2,2007
Besant Nagar,Tamil Nadu,Chennai,CGWB,2007-05-15,5.2,13.00138889,80.27,2,2007
Chepauk (A),Tamil Nadu,Chennai,CGWB,2007-05-15,4.34,13.05555556,80.28138889,2,2007
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2007-05-15,6.98,13.02222222,80.225,2,2007
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2007-05-15,3.5,13.04166667,80.20833333,2,2007
Tondiarpet,Tamil Nadu,Chennai,CGWB,2007-05-15,2.9,13.11666667,80.275,2,2007
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2007-05-15,4.24,13.10555556,80.28138889,2,2007
Vepery,Tamil Nadu,Chennai,CGWB,2007-05-15,8.1,13.08333333,80.27083333,2,2007
Alwarpet,Tamil Nadu,Chennai,CGWB,2007-08-25,2.6,13.025,80.25833333,2,2007
Besant Nagar,Tamil Nadu,Chennai,CGWB,2007-08-25,4.36,13.00138889,80.27,2,2007
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2007-08-25,5.37,13.02222222,80.225,2,2007
Vepery,Tamil Nadu,Chennai,CGWB,2007-08-25,2.71,13.08333333,80.27083333,2,2007
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2007-08-25,4.05,13.10555556,80.28138889,2,2007
Chepauk (A),Tamil Nadu,Chennai,CGWB,2007-08-25,1.9,13.05555556,80.28138889,2,2007
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2007-08-25,1.83,13.04166667,80.20833333,2,2007
Tondiarpet,Tamil Nadu,Chennai,CGWB,2007-08-25,3.8,13.11666667,80.275,2,2007
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2007-11-05,3.32,13.10555556,80.28138889,2,2007
Alwarpet,Tamil Nadu,Chennai,CGWB,2007-11-05,1.45,13.025,80.25833333,2,2007
Besant Nagar,Tamil Nadu,Chennai,CGWB,2007-11-05,3.48,13.00138889,80.27,2,2007
Chepauk (A),Tamil Nadu,Chennai,CGWB,2007-11-05,0.63,13.05555556,80.28138889,2,2007
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2007-11-05,0.62,13.04166667,80.20833333,2,2007
Tondiarpet,Tamil Nadu,Chennai,CGWB,2007-11-05,3.12,13.11666667,80.275,2,2007
Vepery,Tamil Nadu,Chennai,CGWB,2007-11-05,0.18,13.08333333,80.27083333,2,2007
Vallalar Nagar,Tamil Nadu,Chennai,CGWB,2008-01-05,2.85,13.10555556,80.28138889,2,2008
Tondiarpet,Tamil Nadu,Chennai,CGWB,2008-01-05,2.1,13.11666667,80.275,2,2008
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2008-01-05,1.05,13.04166667,80.20833333,2,2008
Vepery,Tamil Nadu,Chennai,CGWB,2008-01-05,6.8,13.08333333,80.27083333,2,2008
Chepauk (A),Tamil Nadu,Chennai,CGWB,2008-01-05,1.32,13.05555556,80.28138889,2,2008
Besant Nagar,Tamil Nadu,Chennai,CGWB,2008-01-05,3.8,13.00138889,80.27,2,2008
Alwarpet,Tamil Nadu,Chennai,CGWB,2008-01-05,1.75,13.025,80.25833333,2,2008
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2008-01-05,1.08,13.02222222,80.225,2,2008
K.K.Nagar,Tamil Nadu,Chennai,CGWB,2008-05-15,2.11,13.04166667,80.20833333,2,2008
Guindy(CLRI),Tamil Nadu,Chennai,CGWB,2008-05-15,4.1,13.02222222,80.225,2,2008
Chepauk (A),Tamil Nadu,Chennai,CGWB,2008-05-15,2.1,13.05555556,80.28138889,2,2008
