Station Name,State Name,District Name,Basin Name,Sub Basin Name,Agency Name,Date Collection,Total Alkalinity (mg/L),Arsenic (mg/L),Calcium (mg/L),Chloride (mg/L),Carbonate (mg/L),Electrical Conductivity (mumhos/cm) at 25 C),Fluoride (mg/L),Iron (mg/L),Total Hardness (mg/L),Bicarbonate (mg/L),Potassium (mg/L),Magnesium (mg/L),Sodium (mg/L),Nitrate (mg/L),"Phosphorus, ortho-phosphate (mg/L)",pH2,Residual Sodium Carbonate,Sodium Absorption Ratio,Silicate (SiO2) (mg/L),Sulphate (mg/L),Total Dissolved Solids (mg/L),Uranium,Latitude,Longitude
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,650.0,,256.0,1404.0,0.0,6030.0,1.8,,256.0,793.0,100.0,102.0,940.0,,,7.99,,12.55,,590.0,,,13.08333333,80.27083333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,250.0,,74.0,237.0,0.0,1305.0,0.8,,350.0,305.0,5.0,40.0,140.0,,,7.82,,3.26,,58.0,,,13.04166667,80.20833333
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,330.3,,90.0,209.0,0.0,1600.0,0.98,,375.0,403.0,45.0,36.0,165.0,1.0,,7.4,,3.71,,150.0,,,13.04268355862069,80.23468378551723
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,219.7,,34.0,142.0,0.0,935.0,1.05,,200.0,268.0,18.0,28.0,110.0,,,7.59,0.39,3.38,,118.0,,,13.025,80.25833333
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,219.7,,34.0,142.0,0.0,935.0,1.05,,200.0,268.0,18.0,28.0,110.0,,,7.59,0.39,3.38,,118.0,,,13.025,80.25833333
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,330.3,,90.0,209.0,0.0,1600.0,0.98,,375.0,403.0,45.0,36.0,165.0,1.0,,7.4,,3.71,,150.0,,,13.04268355862069,80.23468378551723
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,650.0,,256.0,1404.0,0.0,6030.0,1.8,,256.0,793.0,100.0,102.0,940.0,,,7.99,,12.55,,590.0,,,13.08333333,80.27083333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,469.7,,36.0,308.0,0.0,2180.0,0.84,,235.0,573.0,60.0,35.0,370.0,1.0,,8.09,4.72,10.52,,144.0,,,13.049207,80.2242829
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,219.7,,34.0,142.0,0.0,935.0,1.05,,200.0,268.0,18.0,28.0,110.0,,,7.59,0.39,3.38,,118.0,,,13.025,80.25833333
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,324.6,,108.0,330.0,0.0,2000.0,0.6,,425.0,396.0,30.0,38.0,255.0,136.0,,7.95,,5.37,,135.0,,,13.05555556,80.28138889
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,469.7,,36.0,308.0,0.0,2180.0,0.84,,235.0,573.0,60.0,35.0,370.0,1.0,,8.09,4.72,10.52,,144.0,,,13.049207,80.2242829
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,219.7,,34.0,142.0,0.0,935.0,1.05,,200.0,268.0,18.0,28.0,110.0,,,7.59,0.39,3.38,,118.0,,,13.025,80.25833333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,650.0,,256.0,1404.0,0.0,6030.0,1.8,,256.0,793.0,100.0,102.0,940.0,,,7.99,,12.55,,590.0,,,13.08333333,80.27083333
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,330.3,,90.0,209.0,0.0,1600.0,0.98,,375.0,403.0,45.0,36.0,165.0,1.0,,7.4,,3.71,,150.0,,,13.04268355862069,80.23468378551723
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,650.0,,256.0,1404.0,0.0,6030.0,1.8,,256.0,793.0,100.0,102.0,940.0,,,7.99,,12.55,,590.0,,,13.08333333,80.27083333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,250.0,,74.0,237.0,0.0,1305.0,0.8,,350.0,305.0,5.0,40.0,140.0,,,7.82,,3.26,,58.0,,,13.04166667,80.20833333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,469.7,,36.0,308.0,0.0,2180.0,0.84,,235.0,573.0,60.0,35.0,370.0,1.0,,8.09,4.72,10.52,,144.0,,,13.049207,80.2242829
Chepauk (A),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2002-05,324.6,,108.0,330.0,0.0,2000.0,0.6,,425.0,396.0,30.0,38.0,255.0,136.0,,7.95,,5.37,,135.0,,,13.05555556,80.28138889
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
K.K.Nagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1196.0,0.251,,,,,,,,,7.56,,,,,,,13.04166667,80.20833333
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,8534.0,1.05,,,,,,,,,8.04,,,,,,,13.08333333,80.27083333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
Mandaveli,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,898.0,0.45,,,,,,,,,7.81,,,,,,,13.0258445,80.2627877
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,2410.0,0.55,,,,,,,,,7.9,,,,,,,13.049207,80.2242829
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,4280.0,0.6,,,,,,,,,7.8,,,,,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Alwarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,900.0,0.4,,,,,,,,,7.5,,,,,,,13.025,80.25833333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,1834.0,0.456,,,,,,,,,7.71,,,,,,,9.8238241,77.9862243
Taramani,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2003-05,,,,,0.0,3150.0,0.6,,,,,,,,,8.21,,,,,,,12.9849067,80.2404069
